name,url,
Prime Minister's Department (JPM),/wiki/Prime_Minister%27s_Department_(Malaysia),
Ministry of Agriculture and Food Industries (MOA),/wiki/Ministry_of_Agriculture_and_Agro-based_Industry_(Malaysia),
Ministry of Communication and Multimedia (KKMM),/wiki/Ministry_of_Communications_and_Multimedia_(Malaysia),
Ministry of Defence (MINDEF),/wiki/Ministry_of_Defence_(Malaysia),
Ministry of Domestic Trade and Consumer Affairs (KPDNHEP),/wiki/Ministry_of_Domestic_Trade_and_Consumers_Affairs_(Malaysia),
Ministry of Education (KPM),/wiki/Ministry_of_Education_(Malaysia),
Ministry of Energy and Natural Resources (KeTSA),/wiki/Ministry_of_Energy_and_Natural_Resources_(Malaysia),
Ministry of Entrepreneurship and Co-operatives Development (MEDAC),/wiki/Ministry_of_Entrepreneur_and_Co-operatives_Development_(Malaysia),
Ministry of Environment and Water (KASA),/w/index.php?title=Ministry_of_Environment_and_Water_(Malaysia)&action=edit&redlink=1,
Ministry of Federal Territories (KWP),/wiki/Ministry_of_Federal_Territories_(Malaysia),
Ministry of Finance (MOF),/wiki/Ministry_of_Finance_(Malaysia),
Ministry of Foreign Affairs (KLN/Wisma Putra),/wiki/Ministry_of_Foreign_Affairs_(Malaysia),
Ministry of Health (KKM),/wiki/Ministry_of_Health_(Malaysia),
Ministry of Higher Education (KPT/MOHE),/wiki/Ministry_of_Higher_Education_(Malaysia),
Ministry of Home Affairs (KDN),/wiki/Ministry_of_Home_Affairs_(Malaysia),
Ministry of Housing and Local Government (KPKT),/wiki/Ministry_of_Urban_Wellbeing,_Housing_and_Local_Government_(Malaysia)
Ministry of Human Resources (MOHR),/wiki/Ministry_of_Human_Resources_(Malaysia),
Ministry of International Trade and Industry (MITI),/wiki/Ministry_of_International_Trade_and_Industry_(Malaysia),
Ministry of National Unity (PERPADUAN),/wiki/Ministry_of_National_Unity_(Malaysia),
Ministry of Plantation Industries and Commodities (KPPK/MPIC),/wiki/Ministry_of_Primary_Industries_(Malaysia),
Ministry of Rural Development (KPLB),/wiki/Ministry_of_Rural_and_Regional_Development_(Malaysia),
Ministry of Science Technology and Innovation (MOSTI),/wiki/Ministry_of_Science,_Technology_and_Innovation_(Malaysia)
Ministry of Tourism Art and Culture (MOTAC),/wiki/Ministry_of_Tourism_and_Culture_(Malaysia),
Ministry of Transport (MOT),/wiki/Ministry_of_Transport_(Malaysia),
Ministry of Women Family and Community Development (KPWKM),/wiki/Ministry_of_Women,_Family_and_Community_Development_(Malaysia)
Ministry of Works (KKR),/wiki/Ministry_of_Works_(Malaysia),
Ministry of Youth and Sports (KBS),/wiki/Ministry_of_Youth_and_Sports_(Malaysia),
National Palace (Website),/wiki/Istana_Negara,_Jalan_Duta
Prime Minister's Office (PMO) (Website),,
Chief Executive's Management Information System (SMPKE),,
National Branding Unit,,
Socioeconomic Development of Indian Community Unit (SEDIC),,
Special Implementation Task Force (SITF),,
Special Secretariat for the Empowerment of Indian Entrepreneurs (SEED),/wiki/Prime_Minister_of_Malaysia,
Chief Secretary's Office (Website),/wiki/Chief_Secretary_to_the_Government,
General Administration,http://www.jpm.gov.my,
Advisory Board,http://www.lp.gov.my,
Attorney General’s Chamber (AGC) (Website),/wiki/Attorney_General_of_Malaysia,
Cabinet Constitution and Intergovernmental Affairs Division (BKPP),http://www.kabinet.gov.my,
Department of Statistics (DOSM),http://www.dosm.gov.my,
Department of Waqf Zakat and Hajj (JAWHAR),http://www.jawhar.gov.my,
Division of Ceremonies and International Conferences Secretariat (BIUPA),http://www.istiadat.gov.my,
Development of Hawkers Petty Traders and Hindu Endowment Unit (UPPPKWH),null,
Economic Planning Unit (EPU),https://web.archive.org/web/20160917102904/http://www.epu.gov.my/,
Education Service Commission (SPP)[2],https://www.spp.gov.my,
Election Commission (SPR) (Website)[2],/wiki/Election_Commission_of_Malaysia,
Enforcement Agency Integrity Commission (EAIC)[2],https://www.eaic.gov.my,
FELDA Outreach Unit (Seranta),http://www.serantajpm.gov.my,
FELDA Regulatory Unit (UKSF),http://uksf.jpm.gov.my,
Human Rights Commission of Malaysia (SUHAKAM)[2] (Website),/wiki/Human_Rights_Commission_of_Malaysia,
Implementation Coordination Unit (ICU),https://web.archive.org/web/19991003064254/http://www.icu.gov.my/,
Judicial Appointments Commission (JAC)[2],https://www.jac.gov.my,
Legal Affairs Division (BHEUU),,
Legal Aid Department (JBG),,
Malaysian Department of Insolvencies (MdI),http://www.bheuu.gov.my,
Legal and Judicial Training Institute (ILKAP),http://www.ilkap.gov.my,
Malaysian Anti-Corruption Commission (SPRM)[2] (Website),/wiki/Malaysian_Anti-Corruption_Commission,
Malaysian Islamic Development Department (JAKIM)[3],,
Federal Territories' Islamic Affairs Department (JAWI),http://www.islam.gov.my,
Malaysian Maritime Enforcement Affairs Division (BHEPMM),http://bhepmm.mmea.gov.my,
Malaysian Sharia Judiciary Department (JKSM),,
Federal Territories' Sharia Court (MSWP),http://www.jksm.gov.my,
National Audit Department (JAN)[2],https://www.audit.gov.my,
National Governance Integrity and Anti-Corruption Centre (GIACC),,
Malaysian Integrity Institute** (INTEGRITI),http://integriti.my,
National Security Council (MKN) (Website),/wiki/National_Security_Council_(Malaysia),
Office of Sabah Federal Secretary (PSUP Sabah),http://www.psupsabah.gov.my,
Office of Sarawak Federal Secretary (PSUP Sarawak),http://www.supsrwk.gov.my,
Office of the Chief Government Security Officer (CGSO),http://www.cgso.gov.my,
Office of the Chief Registrar of the Federal Court[4] (PKPMP),http://www.kehakiman.gov.my,
Office of the Director of Land and Mines of Federal Territories (PTGWP),,
Office of Land and Mines of Labuan,,
Office of Land and Mines of Putrajaya,http://www.ptgwp.gov.my,
Office of the Former Prime Minister Tun Abdullah Ahmad Badawi (Website),/wiki/Abdullah_Ahmad_Badawi,
Office of the Former Prime Minister Dato' Sri Mohd. Najib Abdul Razak,/wiki/Najib_Razak,
Office of the Former Prime Minister Tun Dr. Mahathir Mohamad,/wiki/Mahathir_Mohamad,
Office of the Keeper of the Rulers’ Seal (Website) (PMBRR),/wiki/Keeper_of_the_Rulers%27_Seal,
Office of the Mufti of Federal Territories (PMWP),http://www.muftiwp.gov.my,
Performance and Delivery Management Unit (PEMANDU),https://web.archive.org/web/20180603194215/http://www.pemandu.gov.my/,
Property Management Division (BPH),http://www.bph.gov.my,
Protection Division,http://www.ups.gov.my,
Public Complaints Bureau (BPA/PCB),http://www.pcb.gov.my,
Public-Private Partnership Unit (UKAS),http://www.ukas.gov.my,
Public Services Commission (SPA)[2][5] (Website),/wiki/Public_Services_Commission_of_Malaysia,
Public Service Department (JPA),,
Malaysian Institute of Public Administration (INTAN),http://www.jpa.gov.my,
Research Division,/wiki/Research_Division_of_the_Prime_Minister%27s_Department,
Secretariat of Federal Territories Earthworks Committee,null,
SME and Microcredit Development Unit[6],#cite_note-6,
Strategic Special Unit (UKS),null,
Federal Land Development Authority* (FELDA) (Website),/wiki/Federal_Land_Development_Authority,
Federal Territories’ Islamic Affairs Council* (MAIWP),,
MAIWP Zakat Collection Centre** (PPZ-MAIWP),http://www.maiwp.gov.my,
Langkawi Development Authority* (LADA),http://www.lada.gov.my,
National Innovation Agency* (AIM),http://innovation.my,
Pilgrims Fund Board* (TH) (Website),/wiki/Tabung_Haji,
Rulers’ and Governors’ Higher Education Scholarship Fund*,null,
Alhijrah Media Corporation** (TV Alhijrah) (Website),/wiki/TV_Alhijrah,
Amanah Raya Berhad** (ARB),https://web.archive.org/web/20181226203112/http://arb.com.my/,
Bumiputera Agenda Steering Unit** (TERAJU),http://www.teraju.gov.my,
Bumiputera Education Steering Foundation** (YPPB),http://www.yayasanpeneraju.com.my,
Ekuiti Nasional Berhad** (EKUINAS) (Website),/wiki/Ekuinas,
Ekuiti Nasional Foundation** (YEN),null,
Federal Land Combination and Recovery Authority** (FELCRA),http://www.felcra.com.my,
Halal Industry Development Corporation** (HDC) (Website),/wiki/Halal_Industry_Development_Corporation,
Institute for Strategic and International Studies** (ISIS),http://www.isis.org.my,
International Multilateral Partnership Against Cyber Threats** (IMPACT) (Website),/wiki/International_Multilateral_Partnership_Against_Cyber_Threats,
Malaysian Islamic Understanding Institute** (IKIM),http://www.ikim.gov.my,
Malaysia Petroleum Resources Corporation** (MPRC),http://www.mprc.gov.my,
Malaysian Industry-Government Group for High Technology** (MiGHT),/wiki/Malaysian_Industry-Government_Group_for_High_Technology,
Petroliam Nasional Berhad** (PETRONAS) (Website),/wiki/Petronas,
Islamic Dakwah Foundation of Malaysia** (YADIM),http://www.yadim.com.my,
Islamic Economic Development Foundation of Malaysia** (YaPEIM),http://www.yapeim.net.my,
Waqaf Foundation of Malaysia** (YWM),http://www.ywm.gov.my,
Kuala Lumpur Regional Centre for Arbitration** (KLRCA),http://klrca.org,
Malaysian Agricultural Research and Development Institute** (MARDI) (Website),/wiki/Malaysian_Agricultural_Research_and_Development_Institute,
Farmers’ Organisation Authority* (LPP) (Website),/wiki/Farmers%27_Organization_Authority,
Federal Agricultural Marketing Authority* (FAMA) (Website),/wiki/Federal_Agricultural_Marketing_Authority_(Malaysia),
Malaysian Fisheries Development Authority* (LKIM),http://www.lkim.gov.my,
Muda Agricultural Development Authority* (MADA),http://www.mada.gov.my,
Malaysian Pineapple Industrial Authority* (MPIB),http://www.mpib.gov.my/,
Kemubu Agricultural Development Authority* (KADA),http://www.kada.gov.my,
Department of Agriculture (DOA),http://www.doa.gov.my,
Department of Veterinary Service (DVS),http://www.dvs.gov.my,
Department of Fisheries (DOF),http://www.dof.gov.my,
Malaysian Quarantine and Inspection Services (MAQIS),http://www.maqis.gov.my,
Agrobank**,/wiki/Agrobank_Malaysia,
CyberSecurity Malaysia**,http://www.cybersecurity.my,
Department of Broadcasting (RTM) (Website),/wiki/Radio_Televisyen_Malaysia,
Department of Information (JAPEN),http://www.penerangan.gov.my,
Department of Personal Data Protection (JPDP),http://www.pdp.gov.my,
Tun Abdul Razak Institute for Broadcasting and Information (IPPTAR),http://www.ipptar.gov.my,
Malaysian Administrative Modernisation and Management Planning Unit (MAMPU),https://web.archive.org/web/20100730120955/http://www.mampu.gov.my/,
Malaysian Communication and Multimedia Commission* (SKMM) (Website),/wiki/Malaysian_Communications_and_Multimedia_Commission,
Malaysian Digital Economy Corporation** (MDEC),http://www.mdec.my,
Malaysian National News Agency* (BERNAMA) (Website),/wiki/Bernama,
National Film Development Corporation* (FINAS),http://www.finas.gov.my,
myNIC** (Website),/wiki/.my,
Malaysian Armed Forces (ATM) (Website),/wiki/Malaysian_Armed_Forces,
Armed Forces Retirees' Affairs Corporation* (PERHEBAT)[10],http://www.perhebat.net.my,
ATM Veteran Affairs Department (JHEV),http://www.jhev.gov.my,
Malaysian Institute of Defence and Security (MIDAS),http://midas.mod.gov.my,
Science and Technology Research Institute for Defence (STRIDE),http://www.stride.gov.my,
Companies Commission (SSM) (Website),/wiki/Companies_Commission_of_Malaysia,
Competition Commission (MyCC),http://www.mycc.gov.my,
Malaysian Intellectual Property Corporation (MyIPO),http://www.myipo.gov.my,
Perbadanan Nasional Berhad** (PNS),/wiki/Perbadanan_Nasional_Berhad,
Dewan Bahasa dan Pustaka* (DBP) (Website),/wiki/Dewan_Bahasa_dan_Pustaka,
Malaysian Examination Council* (MPM),http://www.mpm.edu.my,
Malaysian Institute of Translation & Books** (ITBM),http://www.itbm.com.my,
Malaysian National Library (PNM),http://www.pnm.gov.my,
PADU Corporation**,http://www.padu.edu.my,
National Archives of Malaysia (ANM) (Website),/wiki/National_Archives_of_Malaysia,
Atom Energy Licensing Board (LPTA/AELB),http://portal.aelb.gov.my/sites/aelb/lamanutama,
Department of Forestry of Peninsular Malaysia (JPSM),https://www.forestry.gov.my/index.php/en/,
Department of Mineral and Geoscience (JMG),http://www.jmg.gov.my,
Department of the Director General of Land and Mines (JKPTG),http://www.jkptg.gov.my,
Malaysian Mapping and Survey Department (JUPEM),http://www.jupem.gov.my,
Malaysian Nuclear Agency (Nuclear Malaysia) (Website),/wiki/Malaysian_Nuclear_Agency,
Malaysian Sustainable Energy Development Authority (SEDA),http://www.seda.gov.my,
National Hydraulic Research Institute of Malaysia (NAHRIM),http://www.nahrim.gov.my,
National Land and Survey Institute (INSTUN),http://www.instun.gov.my,
Sewerage Services Department (JPP),http://www.jpp.gov.my,
Energy Commission* (ST) (Website),/wiki/Energy_Commission_(Malaysia),
Malaysian Nuclear Power Corporation** (MNPC),null,
Co-operatives Commission (SKM),http://www.skm.gov.my,
Malaysian Co-operative College (MKM),http://www.mkm.edu.my,
SME Corporation Malaysia* (SME Corp),http://www.smecorp.gov.my,
Small and Medium Entreprise Bank** (SME Bank),http://www.smebank.com.my,
TEKUN Nasional**,http://www.tekun.gov.my,
Perbadanan Usahawan Nasional Berhad (PUNB),http://www.punb.com.my,
Uda Holdings Berhad,http://www.uda.com.my,
Bank Kerjasama Rakyat Malaysia Berhad** (Bank Rakyat) (Website),/wiki/Bank_Rakyat,
Institut Keusahawanan Negara (INSKEN),http://www.insken.gov.my/,
Professional Training & Education For Growing Entrepreneurs (Protege),http://www.protege.my/en,
Malaysian Global Innovation & Creativity Centre (MAGIC),https://mymagic.my/,
Department of Environment (JAS/DOE),http://www.doe.gov.my,
Department of Irrigation and Drainage (JPS/DID),http://www.water.gov.my,
Department of Marine Parks (JTLM/DMPM),http://www.dmpm.nre.gov.my,
Department of Water Supply (JBA),http://www.jba.gov.my,
Department of Wildlife and National Parks Peninsular Malaysia (PERHILITAN) (Website),/wiki/Department_of_Wildlife_and_National_Parks_Peninsular_Malaysia,
Forestry Research Institute of Malaysia* (FRIM),http://www.frim.gov.my,
National Water Services Commission* (SPAN),http://www.span.gov.my,
Yayasan Hijau** (yaHijau),http://www.yahijau.com,
Kuala Lumpur City Hall (DBKL) (Website),/wiki/Kuala_Lumpur_City_Hall,
Kampong Bharu Development Corporation (PKB),http://www.pkb.gov.my,
Labuan Corporation (PL) (Website),/wiki/Labuan_Corporation,
Putrajaya Corporation (PPj) (Website),/wiki/Putrajaya_Corporation,
Federal Territories' Sports Council (MSWP),http://www.wipers.gov.my,
Accountant-General's Department (ANM),http://www.anm.gov.my,
Property Assessment and Services Department (JPPH),http://www.jpph.gov.my,
Royal Malaysian Customs Department (JKDM) (Website),/wiki/Royal_Malaysian_Customs_Department,
Bank Simpanan Nasional* (BSN) (Website),/wiki/Bank_Simpanan_Nasional,
Central Bank of Malaysia* (BNM) (Website),/wiki/Bank_Negara_Malaysia,
East Coast Economic Region Development Council* (ECER DC),http://www.ecerdc.com.my,
Employees’ Provident Fund* (KWSP/EPF) (Website),/wiki/Employees_Provident_Fund_(Malaysia),
Inland Revenue Board* (LHDN),http://www.hasil.gov.my/,
Iskandar Region Development Authority* (IRDA) (Website),/wiki/Iskandar_Regional_Development_Authority,
Khazanah Nasional Berhad** (Website),/wiki/Khazanah_Nasional,
Labuan Financial Services Authority* (Labuan FSA),http://www.labuanibfc.com,
Malaysian Totalisator Board*,null,
Northern Corridor Implementation Authority* (NCIA),http://www.koridorutara.com.my,
Public Sector Housing Financing Authority* (LPPSA),http://www.lppsa.gov.my,
Regional Corridor Development Authority* (RECODA),http://www.recoda.gov.my,
Retirement Fund (Incorporated)* (KWAP),/wiki/Retirement_Fund_(Incorporated),
Sabah Economic Development and Investment Authority* (SEDIA),http://www.sedia.com.my,
Securities Commission* (SC),http://www.sc.com.my,
Bursa Malaysia Berhad** (Website),/wiki/Bursa_Malaysia,
Yayasan Tun Razak** (YTR),http://www.yayasantunrazak.org.my,
ASEAN-Malaysia National Secretariat,http://myasean.kln.gov.my/myaseanv2/,
Institute of Diplomacy and Foreign Relations (IDFR),http://www.idfr.gov.my,
Southeast Asia Regional Centre for Counter Terrorism (SEARCCT),http://www.searcct.gov.my,
National Authority for Chemical Weapons' Convention (NACWC),https://www.kln.gov.my/cwc/,
Malaysian Healthcare Travel Council (MHTC),http://www.mhtc.org.my,
Medical Device Authority (MDA),http://www.mdb.gov.my,
Institute for Medical Research (IMR),http://www.imr.gov.my,
Institute for Health Systems Research (IHSR),http://www.ihsr.gov.my,
Institute for Public Health (IKU),http://www.iku.gov.my,
Institute for Health Management (IPK),http://www.ihm.moh.gov.my,
Institute for Respiratory Medicine (IPR)[16],#cite_note-16,
Clinical Research Centre (CRC),http://www.crc.gov.my,
Institute for Health Behavioural Research (IPTK),http://iptk.moh.gov.my,
National Cancer Institute (NCI),http://nci.moh.gov.my,
National Blood Centre (PDN),http://www.pdn.gov.my,
National Leprosy Control Centre (PKKN)[17],#cite_note-17,
Children’s Dental Centre[18],http://ppkkklpm.moh.gov.my,
Higher Education Department (JPT),http://jpt.mohe.gov.my,
Polytechnic and Community College Education Department (JPPKK),http://www.mypoliteknik.edu.my,
Malaysian Qualification Agency* (MQA),https://web.archive.org/web/20141011033622/http://www.mqa.gov.my/,
National Higher Education Fund Corporation* (PTPTN) (Website),/wiki/Perbadanan_Tabung_Pendidikan_Tinggi_Nasional,
Eastern Sabah Security Command (ESSCOM) (Website),/wiki/Eastern_Sabah_Security_Command,
Malaysian Civil Defence Force (APM) (Website),/wiki/Malaysian_Civil_Defence_Force,
Fire and Rescue Department of Malaysia (JBPM) (Website),/wiki/Fire_and_Rescue_Department_of_Malaysia,
Malaysian Immigration Department (JIM),https://web.archive.org/web/20120320223324/http://www.imi.gov.my/,
Malaysian Maritime Enforcement Agency (APMM) (Website),/wiki/Malaysian_Maritime_Enforcement_Agency,
Malaysian Prison Department (Website),/wiki/Malaysian_Prison_Department,
Malaysian Volunteers’ Department (RELA) (Website),/wiki/The_People%27s_Volunteer_Corps,
National Anti-Drug Agency (AADK),http://www.adk.gov.my,
National Registration Department (JPN),http://www.jpn.gov.my,
Registry of Societies (ROS),http://www.ros.gov.my,
Royal Malaysian Police (PDRM) (Website),/wiki/Royal_Malaysia_Police,
Percetakan Nasional Malaysia Berhad** (PNMB),http://www.printnasional.com.my,
Film Censorship Board of Malaysia (LPF) (Website),/wiki/Film_Censorship_Board_of_Malaysia,
Department of Local Governments (JKT),http://jkt.kpkt.gov.my,
Kampung Baru Division,http://ekgbaru.jpm.gov.my,
National Landscape Department (JLN),http://jln.kpkt.gov.my,
National Housing Corporation* (PRIMA),http://www.pr1ma.my,
National Housing Department (JPN),http://ehome.kpkt.gov.my,
National Solid Waste Management Department (JPSPN),http://jpspn.kpkt.gov.my,
Urban and Rural Planning Department of Peninsular Malaysia (JPBD),http://www.townplan.gov.my,
Housing and Local Government Training Institute (i-KPKT),http://ikpkt.kpkt.gov.my,
Solid Waste Management and Public Cleansing Corporation* (SWCorp),http://www.swcorp.gov.my,
Syarikat Perumahan Negara Berhad** (SPNB),http://spnb.com.my/Syarikat,
Tribunal for Housing and Strata Management (TPPS),null,
Department of Industrial Relations (JPP),http://jpp.mohr.gov.my,
Department of Manpower (JTM)[23],http://www.jtm.gov.my,
Department of Occupational Safety and Health (JKKP/DOSH),http://www.dosh.gov.my,
Department of Skills Development (JPK/DSD) (Website),/wiki/Department_of_Skills_Development,
Department of Trade Union Affairs (JHEKS),http://jheks.mohr.gov.my,
Industrial Courts (MP),http://www.mp.gov.my,
Sabah Labour Department (JTK Sabah),https://web.archive.org/web/20171210162544/http://jtksbh.mohr.gov.my/,
Sarawak Labour Department (JTK Sarawak),https://web.archive.org/web/20161123005424/http://jtkswk.mohr.gov.my/,
Human Resources Development Fund** (HRDF/PSMB),http://www.hrdf.com.my,
National Institute of Occupational Safety and Health** (NIOSH),http://www.niosh.com.my,
Skill Development Fund Corporation (PTPK),http://www.ptpk.gov.my,
Social Security Organisation (PERKESO/SOCSO),http://www.perkeso.gov.my,
Talent Corporation Malaysia Berhad** (TalentCorp),http://www.talentcorp.com.my,
Malaysian Automotive Institute** (MAI),http://www.mai.org.my,
Malaysian External Trade Development Corporation (MATRADE),http://www.matrade.gov.my,
Malaysian Industrial Development Finance** (MIDF),http://www.midf.com.my,
Malaysian Investment Development Authority (MIDA) (Website),/wiki/Malaysian_Investment_Development_Authority,
Malaysian Productivity Corporation (MPC),http://www.mpc.gov.my,
Malaysian Steel Institute** (MSI),http://malaysiasteelinstitute.com,
Department of National Unity and Integration (JPNIN),https://web.archive.org/web/20180224031853/http://jpnin.gov.my/,
Malaysian Indian Transformation Unit (MITRA),https://mitra.gov.my/ms/laman-utama/,
Malaysian Cocoa Board* (LKM),http://www.koko.gov.my,
Malaysian Palm Oil Board* (MPOB),http://www.mpob.gov.my,
Malaysian Pepper Board* (MPB),http://www.mpb.gov.my,
Malaysian Rubber Board* (LGM),http://www.lgm.gov.my,
Malaysian Timber Industries Board* (MTIB),http://www.mtib.gov.my,
National Kenaf and Tobacco Board* (LKTN),http://www.lktn.gov.my,
Malaysian Furniture Promotion Council** (MFPC),http://www.mfpc.org.my,
Malaysian Palm Oil Certification Council** (MPOCC),http://www.mpocc.org.my,
Malaysian Palm Oil Council** (MPOC),null,
Malaysian Rubber Export Promotion Council** (MREPC),http://www.mrepc.com,
Malaysian Timber Certification Council** (MTCC),http://www.mtcc.com.my,
Malaysian Timber Council** (MTC),http://www.mtc.com.my,
Community Development Department (KEMAS),http://www.kemas.gov.my,
Indigenous Community Affairs Department (JAKOA),http://www.jakoa.gov.my,
Institute for Rural Advancement (INFRA),http://www.infra.gov.my,
Central Terengganu Development Authority* (KETENGAH),http://www.ketengah.gov.my,
Kedah Regional Development Authority* (KEDA),http://www.keda.gov.my,
Rubber Industry Smallholders Development Authority* (RISDA) (Website),/wiki/Rubber_Industry_Smallholders_Development_Authority,
Majlis Amanah Rakyat* (MARA)[26] (Website),/wiki/Majlis_Amanah_Rakyat,
Penang Regional Development Authority* (PERDA),http://www.perda.gov.my,
South Kelantan Development Authority* (KESEDAR),http://www.kesedar.gov.my,
Southeast Johor Development Authority* (KEJORA),http://www.kejora.gov.my,
Department of Biosafety (JBK),http://www.biosafety.nre.gov.my/,
Malaysian Chemistry Department (JKM),http://www.kimia.gov.my,
Malaysian Meteorological Department (MMD/MET Malaysia) (Website),/wiki/Malaysian_Meteorological_Department,
Malaysian Remote Sensing Agency (MRSA),http://www.remotesensing.gov.my,
Malaysian Standards Department (JSM/Standards Malaysia),http://www.jsm.gov.my,
National Science Centre (PSN),http://www.psn.gov.my,
National Space Agency (ANGKASA) (Website),/wiki/National_Space_Agency_(Malaysia),
Academy of Science Malaysia* (ASM),http://www.akademisains.gov.my,
Malaysian Board of Technologists* (MBOT),http://www.mbot.org.my,
Malaysian Astronauts Foundation** (YAM),null,
Malaysian Foundation for Innovation** (YIM),http://yim.my,
Malaysian Institute of Chemistry** (IKM),http://www.ikm.org.my,
Sultan Mizan Foundation for Antarctic Research** (YPASM),http://www.ypasm.my,
Astronautic Technology Sdn. Bhd.** (ATSB) (Website),/wiki/Astronautic_Technology_Sdn_Bhd,
Bioeconomy Corporation**,http://www.bioeconomycorporation.my,
Inno Biologics Sdn. Bhd.**[27],http://www.innobiologics.com,
Kumpulan Modal Perdana Sdn. Bhd.,http://www.modalperdana.com,
Malaysia Debt Ventures Berhad** (MDV),http://www.mdv.com.my,
Malaysia Design Council** (MRM),https://web.archive.org/web/20160217194202/http://www.mrm.gov.my/,
Malaysia Green Technology Corporation** (GreenTech Malaysia),http://www.greentechmalaysia.my\,
Malaysia Venture Capital** (MAVCAP),http://www.mavcap.com,
Malaysian Technology Development Corporation** (MTDC),http://www.mtdc.com.my\,
National Institutes of Biotechnology Malaysia** (NIBM),http://www.nibm.my,
MIMOS Berhad** (Website),/wiki/MIMOS,
NanoMalaysia Berhad**,http://www.nanomalaysia.com.my,
SIRIM Berhad** (Website),/wiki/SIRIM,
Technology Park Malaysia Corporation Sdn. Bhd.** (TPM) (Website),/wiki/Technology_Park_Malaysia,
Islamic Tourism Centre (ITC),http://www.itc.gov.my,
Istana Budaya (IB) (Website),/wiki/Istana_Budaya,
Malaysia Convention and Exhibition Bureau (MyCEB),http://www.myceb.com.my,
Malaysian Handicraft Development Corporation (PKKM),http://www.kraftangan.gov.my,
National Culture and Art Department (JKKN),http://www.jkkn.gov.my,
National Culture Art and Heritage Academy (ASWARA),http://www.aswara.edu.my,
National Heritage Department (JWN),http://www.heritage.gov.my,
National Visual Arts Development Board (LPSVN),http://www.artgallery.gov.my,
Tourism Malaysia* (Website),/wiki/Tourism_Malaysia,
Department of Museums Malaysia (JMM),http://www.jmm.gov.my/en,
National Archives of Malaysia (Arkib Negara),/wiki/National_Archives_of_Malaysia,
National Library of Malaysia (PNM),/wiki/National_Library_of_Malaysia,
Bintulu Port Authority (BPA),http://www.bpa.gov.my,
Civil Aviation Authority of Malaysia (CAAM) (Website),/wiki/Department_of_Civil_Aviation_Malaysia,
Johor Port Authority* (LPJ),http://www.lpj.gov.my,
Kuantan Port Authority* (LPKTN),http://www.lpktn.gov.my,
Land Public Transport Agency* (APAD) (Website),/wiki/Land_Public_Transport_Commission_(Malaysia),
Malaysian Institute of Road Safety Research (MIROS),http://www.miros.gov.my,
Marine Department of Malaysia (JLM),http://www.marine.gov.my,
Maritime Institute of Malaysia (MIMA),http://www.mima.gov.my,
Penang Port Commission* (SPPP/PPC),http://www.penangport.gov.my/,
Port Klang Authority* (PKA) (Website),/wiki/Port_Klang_Authority,
Railway Assets Corporation* (PAK/RAC),http://www.rac.gov.my,
Road Safety Department (JKJR),http://www.jkjr.gov.my,
Road Transport Department (JPJ) (Website),/wiki/Road_Transport_Department_Malaysia,
Sabah Commercial Vehicles Licensing Board (LPKP Sabah),http://lpkpsabah.jpm.gov.my,
Sarawak Commercial Vehicles Licensing Board (LPKP Sarawak),https://web.archive.org/web/20151014100908/http://lpkpsarawak.gov.my/,
National Family and Community Development Board* (LPPKN),http://www.lppkn.gov.my,
Community Welfare Department (JKM),http://www.jkm.gov.my,
NAM Institute for the Empowerment of Women (NIEW),http://www.niew.gov.my,
Institute of Social Malaysia (ISM),http://www.ism.gov.my,
Women Development Department (JPW),http://www.jpw.gov.my,
Public Works Department (JKR),http://www.jkr.gov.my,
Construction Industry Development Board (CIDB),http://www.cidb.gov.my,
Malaysian Highway Board (LLM),http://www.llm.gov.my,
Board of Engineers of Malaysia (BEM),http://www.bem.org.my,
Board of Architects Malaysia (LAM),http://www.lam.gov.my,
Board of Surveyors of Malaysia (LJT),http://www.ljt.org.my/,
Anti-Doping Agency of Malaysia** (ADAMAS),http://www.adamas.gov.my/en/,
Civic and Citizenship Bureau (BTN),http://www.btn.gov.my,
International Youth Centre** (IYC),http://www.iyckul.org.my,
Malaysian Stadium Corporation* (PSM),http://www.stadium.gov.my,
Malaysian Youth Development Research Institute (IPPBM),http://www.ippbm.gov.my,
National Service Training Department (JLKN),http://www.khidmatnegara.gov.my,
National Sports Council (MSN/NSC),http://www.nsc.gov.my,
National Sports Institute (ISN),http://www.isn.gov.my,
National Youth and Sports Department (JBSN),http://www.jbsn.gov.my,
Office of the Sports Commissioner (PPS),http://pps.kbs.gov.my,
Registry of Youth Societies (ROY),http://roy.kbs.gov.my,
Sepang International Circuit Sdn. Bhd.** (SIC),null,
Subang Golf Course Corporation** (SGCC),null,